Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
Garrett Cooper,30,2,MLB-NL,Miami,51,179,161,17,41,7,1,5,22,15,0,50,3,0,0,0,0,1,0.255,0.33,0.404,0.733,Garrett,Cooper,Cooper,643265
Patrick Corbin,31,3,MLB-NL,Washington,10,21,17,0,3,0,0,0,0,1,0,8,0,3,0,0,0,0,0.176,0.222,0.176,0.399,Patrick,Corbin,Corbin,571578
Franchy Cordero,26,14,MLB-AL,Boston,34,102,95,9,17,6,0,1,9,6,0,37,0,1,0,0,1,0,0.179,0.228,0.274,0.501,Franchy,Cordero,Cordero,614173
Carlos Correa,26,0,MLB-AL,Houston,56,245,214,37,60,13,0,10,32,29,2,37,1,0,1,4,0,0,0.28,0.367,0.481,0.849,Carlos,Correa,Correa,621043
Will Craig,26,5,MLB-NL,Pittsburgh,18,65,60,5,13,2,0,1,3,5,1,22,0,0,0,1,0,0,0.217,0.277,0.3,0.577,Will,Craig,Craig,643269
Brandon Crawford,34,1,MLB-NL,San Francisco,51,188,164,32,43,9,0,12,37,21,3,45,2,0,1,1,3,0,0.262,0.351,0.537,0.888,Brandon,Crawford,Crawford,543063
J.P. Crawford,26,0,MLB-AL,Seattle,60,227,205,26,54,14,0,3,21,19,0,38,1,0,2,1,2,2,0.263,0.326,0.376,0.702,J. P.,Crawford,Crawford,641487
Nabil Crismatt,26,14,MLB-NL,San Diego,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Nabil,Crismatt,Crismatt,622503
C.J. Cron,31,0,MLB-NL,Colorado,45,166,142,22,37,7,1,5,18,20,0,43,4,0,0,0,0,0,0.261,0.367,0.43,0.797,C. J.,Cron,Cron,543068
Jake Cronenworth,27,0,MLB-NL,San Diego,60,258,228,37,63,13,1,5,18,20,2,35,4,2,1,1,3,1,0.276,0.344,0.408,0.752,Jake,Cronenworth,Cronenworth,630105
Wil Crowe,26,17,MLB-NL,Pittsburgh,4,8,6,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0.167,0.286,0.167,0.452,Wil,Crowe,Crowe,640444
Nelson Cruz,40,1,MLB-AL,Minnesota,51,202,175,27,49,7,1,10,25,19,2,40,3,0,3,2,1,0,0.28,0.355,0.503,0.858,Nelson,Cruz,Cruz,112906
Johnny Cueto,35,0,MLB-NL,San Francisco,7,15,11,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0.0,0.0,0.0,0.0,Johnny,Cueto,Cueto,456501
Charlie Culberson,32,0,MLB-AL,Texas,43,132,122,10,28,6,1,3,12,7,1,35,0,3,0,1,2,0,0.23,0.271,0.369,0.64,Charlie,Culberson,Culberson,518586
John Curtiss,28,40,MLB-NL,Miami,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,John,Curtiss,Curtiss,595928
Travis d'Arnaud,32,36,MLB-NL,Atlanta,23,87,82,5,18,4,0,2,11,4,0,20,0,0,1,1,0,0,0.22,0.253,0.341,0.594,Travis,d'Arnaud,d'Arnaud,518595
David Dahl,27,12,MLB-AL,Texas,42,154,144,16,30,7,0,4,12,6,0,41,1,1,2,0,1,1,0.208,0.242,0.34,0.582,David,Dahl,Dahl,621311
Bobby Dalbec,26,0,MLB-AL,Boston,47,165,154,13,30,8,1,6,24,10,0,60,1,0,0,1,1,0,0.195,0.248,0.377,0.625,Bobby,Dalbec,Dalbec,666915
Yu Darvish,34,3,MLB-NL,San Diego,11,24,24,1,3,2,0,0,0,0,0,10,0,0,0,0,0,0,0.125,0.125,0.208,0.333,Yu,Darvish,Darvish,506433
Tucker Davidson,25,3,MLB-NL,Atlanta,2,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Tucker,Davidson,Davidson,656353
Zach Davies,28,3,MLB-NL,Chicago,11,16,10,1,2,0,0,0,2,0,0,4,0,6,0,0,0,0,0.2,0.2,0.2,0.4,Zach,Davies,Davies,605200
J.D. Davis,28,36,MLB-NL,New York,14,48,41,5,16,3,0,2,7,4,1,15,3,0,0,1,0,0,0.39,0.479,0.61,1.089,J. D.,Davis,Davis,605204
Jonathan Davis,29,1,MLB-AL,Toronto,38,74,62,13,9,1,0,1,3,9,0,19,3,0,0,0,3,1,0.145,0.284,0.21,0.493,Jonathan,Davis,Davis,641505
Khris Davis,33,1,MLB-AL,Texas,22,61,51,8,8,1,1,2,5,8,0,16,0,0,2,1,0,0,0.157,0.262,0.333,0.596,Khris,Davis,Davis,501981
Ronnie Dawson,26,49,MLB-AL,Houston,3,6,5,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2,0.333,0.2,0.533,Ronnie,Dawson,Dawson,669008
Yonathan Daza,27,0,MLB-NL,Colorado,50,153,139,11,46,5,1,1,13,10,0,29,0,3,1,0,2,0,0.331,0.373,0.403,0.776,Yonathan,Daza,Daza,602074
Alex De Goti,26,49,MLB-AL,Houston,2,7,6,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0.333,0.429,0.333,0.762,Alex,De,Goti,621008
Chase De Jong,27,1,MLB-NL,Pittsburgh,3,4,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,Chase,De,Jong,608328
Jose De Leon,28,33,MLB-NL,Cincinnati,4,5,4,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0.25,0.25,0.25,0.5,Jose,De,Leon,592254
Austin Dean,27,38,MLB-NL,St. Louis,18,34,27,4,6,2,0,1,7,5,0,9,0,0,2,0,0,0,0.222,0.324,0.407,0.731,Austin,Dean,Dean,621573
Jacob deGrom,33,1,MLB-NL,New York,9,23,23,4,9,1,0,0,3,0,0,8,0,0,0,0,0,0,0.391,0.391,0.435,0.826,Jacob,deGrom,deGrom,594798
Paul DeJong,27,25,MLB-NL,St. Louis,35,141,124,18,22,3,0,7,17,15,0,32,2,0,0,0,2,0,0.177,0.277,0.371,0.648,Paul,DeJong,DeJong,657557
Anthony DeSclafani,31,3,MLB-NL,San Francisco,14,28,22,1,1,1,0,0,1,2,0,13,0,4,0,0,0,0,0.045,0.125,0.091,0.216,Anthony,DeSclafani,DeSclafani,543101
Ross Detwiler,35,16,MLB-NL,Miami,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,Ross,Detwiler,Detwiler,446321
Jose Devers,21,1,MLB-NL,Miami,18,41,37,5,8,3,0,0,4,2,0,11,1,0,1,0,0,0,0.216,0.268,0.297,0.566,Jose,Devers,Devers,672701
Rafael Devers,24,0,MLB-AL,Boston,56,236,211,38,58,18,0,15,48,21,4,65,2,0,2,0,3,4,0.275,0.343,0.573,0.917,Rafael,Devers,Devers,646240
Aledmys Díaz,30,1,MLB-AL,Houston,34,126,115,14,32,9,0,3,18,5,2,19,6,0,0,0,0,1,0.278,0.341,0.435,0.776,Aledmys,Díaz,Díaz,649557
Elias Diaz,30,1,MLB-NL,Colorado,31,101,92,10,13,2,0,1,6,8,0,24,0,0,1,2,0,0,0.141,0.208,0.196,0.404,Elias,Diaz,Diaz,553869
Isan Diaz,25,0,MLB-NL,Miami,28,95,77,4,10,1,0,2,9,14,3,23,1,0,2,0,0,0,0.13,0.266,0.221,0.487,Isan,Diaz,Diaz,656371
Lewin Diaz,24,10,MLB-NL,Miami,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Lewin,Diaz,Diaz,650331
Miguel Diaz,26,4,MLB-NL,San Diego,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Miguel,Diaz,Diaz,622766
Yandy Díaz,29,0,MLB-AL,Tampa Bay,55,228,186,22,47,7,0,1,21,39,1,31,2,0,1,0,0,0,0.253,0.386,0.306,0.692,Yandy,Díaz,Díaz,650490
Alex Dickerson,31,0,MLB-NL,San Francisco,50,145,132,17,30,3,1,6,22,10,0,30,3,0,0,1,1,0,0.227,0.297,0.402,0.698,Alex,Dickerson,Dickerson,543105
Corey Dickerson,32,0,MLB-NL,Miami,56,196,178,23,48,10,2,2,12,14,0,41,3,0,1,1,2,3,0.27,0.332,0.382,0.714,Corey,Dickerson,Dickerson,572816
Jake Diekman,34,55,MLB-AL,Oakland,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jake,Diekman,Diekman,518617
Wilmer Difo,29,0,MLB-NL,Pittsburgh,43,87,82,7,20,3,2,1,6,5,0,25,0,0,0,0,0,0,0.244,0.287,0.366,0.653,Wilmer,Difo,Difo,594694
Josh Donaldson,35,1,MLB-AL,Minnesota,46,190,159,24,40,11,0,7,22,26,0,30,1,0,4,4,0,0,0.252,0.353,0.453,0.805,Josh,Donaldson,Donaldson,518626
Hunter Dozier,29,1,MLB-AL,Kansas City,41,157,144,17,21,5,2,7,18,12,0,49,1,0,0,2,1,1,0.146,0.217,0.354,0.571,Hunter,Dozier,Dozier,641531
Brandon Drury,28,0,MLB-NL,New York,14,34,32,2,7,0,0,2,5,2,0,10,0,0,0,1,0,0,0.219,0.265,0.406,0.671,Brandon,Drury,Drury,592273
Mauricio Dubon,26,0,MLB-NL,San Francisco,53,137,128,13,30,6,0,4,17,6,2,30,1,0,2,0,2,1,0.234,0.27,0.375,0.645,Mauricio,Dubon,Dubon,643289
Matt Duffy,30,15,MLB-NL,Chicago,38,106,90,16,25,4,0,1,12,11,0,18,4,0,1,4,3,0,0.278,0.377,0.356,0.733,Matt,Duffy,Duffy,592274
Steven Duggar,27,0,MLB-NL,San Francisco,33,88,81,15,25,6,1,4,14,7,0,32,0,0,0,1,1,0,0.309,0.364,0.556,0.919,Steven,Duggar,Duggar,621453
Justin Dunn,25,14,MLB-AL,Seattle,2,3,3,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0.333,0.333,0.667,1.0,Justin,Dunn,Dunn,643290
Dane Dunning,26,5,MLB-AL,Texas,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,Dane,Dunning,Dunning,641540
Jon Duplantier,26,3,MLB-NL,Arizona,2,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.333,0.0,0.333,Jon,Duplantier,Duplantier,641541
Adam Duvall,32,1,MLB-NL,Miami,50,188,175,19,34,5,1,9,33,11,0,60,1,0,1,1,2,0,0.194,0.245,0.389,0.633,Adam,Duvall,Duvall,594807
Jarrod Dyson,36,0,MLB-AL,Kansas City,32,49,44,7,12,1,2,0,1,4,0,8,0,1,0,0,4,1,0.273,0.333,0.386,0.72,Jarrod,Dyson,Dyson,502481
Adam Eaton,32,0,MLB-AL,Chicago,48,184,157,27,31,7,2,5,26,17,0,48,6,4,0,1,2,0,0.197,0.3,0.363,0.663,Adam,Eaton,Eaton,284566
Tommy Edman,26,0,MLB-NL,St. Louis,60,270,250,33,68,14,2,4,18,16,0,31,3,0,1,0,12,2,0.272,0.322,0.392,0.714,Tommy,Edman,Edman,669242
Zach Eflin,27,13,MLB-NL,Philadelphia,10,22,18,1,0,0,0,0,1,1,0,10,1,2,0,0,0,0,0.0,0.1,0.0,0.1,Zach,Eflin,Eflin,621107
Seth Elledge,25,2,MLB-NL,St. Louis,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Seth,Elledge,Elledge,676220
Adam Engel,29,0,MLB-AL,Chicago,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.333,0.0,0.333,Adam,Engel,Engel,641553
Nathan Eovaldi,31,15,MLB-AL,Boston,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333,Nathan,Eovaldi,Eovaldi,543135
Eduardo Escobar,32,1,MLB-NL,Arizona,59,251,234,33,57,8,1,14,41,16,0,56,0,0,1,1,1,0,0.244,0.291,0.466,0.757,Eduardo,Escobar,Escobar,500871
Santiago Espinal,26,1,MLB-AL,Toronto,31,70,67,7,15,4,1,0,6,3,0,13,0,0,0,1,1,0,0.224,0.257,0.313,0.571,Santiago,Espinal,Espinal,669289
Paolo Espino,34,23,MLB-NL,Washington,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Paolo,Espino,Espino,502179
Thairo Estrada,25,0,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Thairo,Estrada,Estrada,642731
Phillip Evans,28,25,MLB-NL,Pittsburgh,32,129,111,14,24,3,0,4,8,14,0,29,4,0,0,0,1,0,0.216,0.326,0.351,0.677,Phillip,Evans,Evans,595943
