last_name, first_name,player_id,year,b_ab,b_total_pa,b_single,b_double,b_triple,b_home_run,b_walk,b_k_percent,b_bb_percent,on_base_plus_slg,isolated_power,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_hit_by_pitch,r_run,r_stolen_base_pct,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,sprint_speed,
Vogelbach, Daniel,596129,2021,115,135,16,4,0,4,20,21.5,14.8,.674,.139,10,40,0,0,0,14,,.238,.374,.320,.347,.136,90.6,12.7,35.2,6,6.8,44.3,21.6,33.3,45.5,22.7,24.6,
Sanchez, Gary,596142,2021,134,158,16,5,0,6,21,29.7,13.3,.696,.172,13,50,0,0,3,16,,.228,.432,.336,.346,.204,90.7,19.2,34.1,10,11,44,35.7,44.8,40.7,26.4,25.9,
Kepler, Max,596146,2021,132,152,12,9,2,5,16,18.4,10.5,.727,.212,22,56,0,5,2,20,,.261,.467,.350,.347,.206,91.5,19.2,34.9,11,10.4,47.2,23.7,44.1,35.8,24.5,27.4,
Quinn, Roman,596451,2021,52,62,5,2,2,0,6,30.6,9.7,.595,.115,2,15,3,4,4,8,,.212,.289,.296,.339,.077,86.4,11.2,33.3,1,3,27.3,30.1,40.4,48.5,15.2,30.0,
Franco, Maikel,596748,2021,212,226,23,13,0,6,13,15.0,5.8,.588,.146,26,73,0,0,0,16,,.227,.335,.266,.269,.108,87.5,8.2,26.6,8,4.3,30.4,22,50.4,50,17.9,25.3,
Choi, Ji-Man,596847,2021,46,58,8,4,0,2,11,32.8,19.0,.970,.217,11,24,0,0,1,8,,.279,.517,.408,.428,.238,93.7,19.8,55.6,4,14.8,55.6,33.7,37.4,22.2,25.9,24.8,
Bradley Jr., Jackie,598265,2021,166,182,15,3,2,4,8,33.0,4.4,.468,.114,13,43,1,2,6,16,,.197,.307,.260,.263,.110,89.7,11.3,24.3,7,6.3,43.2,35.7,48.2,49.5,26.1,27.3,
La Stella, Tommy,600303,2021,68,75,11,3,1,1,6,13.3,8.0,.646,.118,5,24,0,0,0,8,,.283,.443,.341,.341,.161,88.9,9.9,31,4,6.9,37.9,12.6,37.3,50,24.1,25.4,
Severino, Pedro,600474,2021,138,152,25,5,0,2,14,22.4,9.2,.614,.080,8,43,0,0,0,10,,.238,.344,.288,.308,.106,86.6,15.7,23.1,3,2.9,34.6,27.8,51,42.3,23.1,26.2,
Candelario, Jeimer,600869,2021,210,233,39,13,0,4,22,25.8,9.4,.725,.119,18,81,0,0,1,27,,.250,.401,.316,.321,.151,88.7,13.8,38.7,14,9,39.4,26.1,46.5,38.1,27.7,27.0,
Daza, Yonathan,602074,2021,136,149,38,5,1,1,9,19.5,6.0,.767,.074,13,55,0,2,0,11,,.269,.337,.296,.321,.069,84.6,6.9,33.3,2,1.8,21.9,23.5,49.8,52.6,21.9,28.0,
Urias, Ramon,602104,2021,53,59,9,2,0,1,5,28.8,8.5,.626,.094,6,17,1,0,1,6,,.229,.375,.305,.314,.145,89.2,8.5,23.1,5,12.8,41,24.8,46,53.8,20.5,26.8,
Ahmed, Nick,605113,2021,159,175,22,10,1,1,14,25.7,8.0,.588,.094,8,49,1,3,1,14,,.191,.271,.239,.257,.080,87.4,15.6,26.1,3,2.5,26.9,31.9,47.8,46.2,22.7,27.6,
Anderson, Brian,605119,2021,124,136,22,6,0,3,12,26.5,8.8,.687,.121,11,46,0,3,0,13,,.218,.385,.291,.287,.167,88.9,11.2,34.1,8,9.1,38.6,28.6,51.6,48.9,22.7,26.9,
Barnes, Austin,605131,2021,87,102,13,5,0,2,13,24.5,12.7,.690,.126,14,31,0,0,1,10,,.215,.288,.283,.324,.073,84.5,15.6,30.2,2,3.2,25.4,26,42.3,42.9,31.7,26.9,
Bell, Josh,605137,2021,152,166,18,7,0,8,12,24.7,7.2,.698,.204,24,64,0,0,1,28,,.246,.441,.327,.310,.196,93.1,7.5,27,10,8.7,53.9,26.4,49.2,50.4,24.3,25.9,
Betts, Mookie,605141,2021,190,227,25,18,1,5,29,15.0,12.8,.817,.184,20,84,3,5,7,31,,.268,.421,.356,.383,.153,89.1,18.1,34.4,10,6.3,40,17.3,39.9,36.3,25,27.3,
Caratini, Victor,605170,2021,123,141,18,4,0,4,15,29.1,10.6,.646,.130,22,42,0,2,2,16,,.210,.366,.296,.307,.156,91.2,10.6,37.3,7,8.4,44.6,30.6,42.4,43.4,26.5,25.3,
Garcia, Aramis,605244,2021,56,61,8,1,0,2,1,29.5,1.6,.551,.125,4,18,0,0,2,5,,.211,.334,.256,.251,.124,88.7,10.9,27.5,2,5,32.5,30.3,52.2,52.5,27.5,25.8,
Panik, Joe,605412,2021,79,82,15,4,0,2,2,14.6,2.4,.673,.127,11,31,0,0,0,6,,.273,.399,.296,.287,.125,84.8,4.9,38.9,3,4.2,23.6,16.9,43.3,47.2,16.7,26.7,
Perez, Michael,605421,2021,63,69,4,2,0,3,5,36.2,7.2,.535,.175,7,20,0,0,1,6,,.187,.321,.249,.255,.134,87.3,15.5,29.3,3,7.3,31.7,26.7,48.4,43.9,34.1,24.6,
Castro, Harold,605612,2021,98,106,29,1,0,0,7,18.9,6.6,.665,.010,11,31,0,0,0,6,,.319,.441,.351,.364,.122,88.4,7.3,46.8,0,0,41.8,29.9,52.7,46.8,15.2,25.6,
Tapia, Raimel,606132,2021,214,233,45,10,0,5,17,13.3,7.3,.728,.117,30,85,3,5,0,29,,.264,.345,.291,.315,.080,86.4,-0.5,23.4,4,2.1,31.4,15,52.5,62.8,17,28.3,
Hernandez, Teoscar,606192,2021,156,170,35,5,0,8,14,25.3,8.2,.858,.186,30,77,2,4,0,22,,.291,.539,.375,.348,.247,92.4,13.5,42.6,17,14.8,47.8,30.4,51.6,32.2,27.8,28.4,
Mercedes, Yermin,606213,2021,186,204,41,7,1,7,16,16.7,7.8,.820,.161,31,86,1,0,1,19,,.260,.456,.334,.322,.195,87.6,15.9,34.2,12,7.6,30.4,20.5,54.3,41.1,27.8,26.2,
Peraza, Jose,606299,2021,74,80,10,3,0,3,5,11.3,6.3,.653,.162,10,28,0,0,1,9,,.228,.349,.279,.283,.121,86,17.7,29.4,3,4.4,26.5,18.1,51.8,44.1,30.9,27.4,
Marte, Ketel,606466,2021,80,87,17,7,0,4,6,16.1,6.9,.978,.238,13,47,0,0,0,14,,.347,.515,.394,.393,.169,91.7,5.6,29.3,4,5.3,52,17.6,42.4,54.7,10.7,26.8,
Haase, Eric,606992,2021,63,69,7,2,1,7,5,30.4,7.2,1.000,.397,11,42,0,0,1,14,,.274,.598,.389,.333,.325,91.7,17.8,46.5,9,20.9,55.8,34.6,43.8,32.6,37.2,27.9,
Nimmo, Brandon,607043,2021,66,80,15,5,0,1,12,27.5,15.0,.864,.121,8,29,1,2,1,7,,.265,.386,.348,.387,.121,88.3,1.4,33.3,3,6.7,37.8,27.4,41.5,57.8,17.8,28.8,
Turner, Trea,607208,2021,219,237,47,11,0,10,13,21.1,5.5,.852,.187,28,109,2,13,3,30,,.283,.463,.346,.330,.180,88.6,8.5,33,12,6.7,45.3,22.8,48.1,48.6,23.5,30.9,
Beaty, Matt,607461,2021,91,104,20,3,0,3,10,18.3,9.6,.793,.132,26,38,1,0,3,17,,.251,.351,.315,.345,.100,86.8,6.3,29.2,1,1.4,33.3,21.1,43.1,47.2,20.8,27.3,
Blandino, Alex,607468,2021,70,82,10,4,0,0,8,34.1,9.8,.574,.057,5,18,0,1,4,9,,.178,.253,.262,.299,.075,85.4,13.6,33.3,0,0,31,31,35.3,35.7,21.4,25.0,
Pillar, Kevin,607680,2021,101,106,19,3,1,2,3,21.7,2.8,.639,.109,9,36,2,2,2,12,,.230,.368,.275,.266,.138,86.9,25.8,30.8,3,3.8,37.2,22.2,55.1,28.2,32.1,27.3,
Stallings, Jacob,607732,2021,140,161,19,10,1,4,20,20.5,12.4,.756,.171,22,58,0,0,1,14,,.241,.419,.332,.338,.178,87.9,9.4,39.4,9,8.3,36.7,26.7,41.7,43.1,23.9,23.4,
Ramirez, Jose,608070,2021,199,229,26,12,1,13,24,13.5,10.5,.873,.266,31,105,1,6,3,39,,.301,.555,.398,.386,.254,91.3,18.4,35.8,21,12.1,48,18,44.5,32.9,29.5,28.1,
Bregman, Alex,608324,2021,190,218,39,10,0,6,26,15.1,11.9,.818,.147,29,83,0,0,2,31,,.262,.407,.331,.353,.146,88.3,15.6,32.1,8,4.8,37,15.3,41.8,44.8,24.2,25.7,
Gallo, Joey,608336,2021,192,237,25,5,0,10,42,33.3,17.7,.749,.182,26,75,0,4,3,31,,.212,.445,.357,.369,.233,91.3,20.1,31.6,17,14.9,39.5,41,42.2,40.4,28.9,27.0,
Kelly, Carson,608348,2021,113,146,21,4,0,6,25,19.9,17.1,.880,.195,21,53,0,0,4,18,,.278,.517,.401,.413,.239,88.1,18.1,38.7,11,11.8,36.6,27.2,41.5,33.3,30.1,24.8,
Seager, Corey,608369,2021,147,169,26,7,2,4,19,17.2,11.2,.783,.156,22,62,0,1,3,20,,.292,.501,.381,.384,.208,91.5,8.6,32.2,10,8.5,51.7,30.7,54.6,50,18.6,26.4,
Winker, Jesse,608385,2021,196,216,42,10,1,14,18,18.5,8.3,1.020,.276,31,121,0,0,2,41,,.318,.596,.412,.383,.278,91.9,13.3,40,21,13.1,53.8,21.1,43.4,41.3,25.6,25.8,
Mazara, Nomar,608577,2021,96,105,13,3,1,2,9,24.8,8.6,.579,.115,12,30,0,0,0,8,,.202,.360,.272,.265,.158,91.2,9.4,31.1,8,10.8,44.6,29.7,45.6,50,24.3,26.1,
Murphy, Tom,608596,2021,106,117,8,4,0,6,8,36.8,6.8,.600,.208,11,40,0,0,0,14,,.183,.388,.268,.238,.205,90.5,20.7,33.3,8,12.1,39.4,41,47.3,36.4,34.8,27.0,
Plawecki, Kevin,608700,2021,50,55,9,3,0,1,3,14.5,5.5,.689,.120,3,19,0,0,1,5,,.268,.474,.347,.331,.206,89.9,12.1,33.3,3,6.7,44.4,15.1,45.4,42.2,24.4,25.7,
Refsnyder, Rob,608701,2021,50,55,11,3,0,2,4,27.3,7.3,.864,.180,9,25,0,0,0,10,,.283,.519,.357,.330,.236,90.6,12.9,41.7,5,13.9,45.7,30.6,47.6,33.3,38.9,27.1,
Andujar, Miguel,609280,2021,77,77,15,1,0,2,0,26.0,0.0,.558,.091,4,25,0,0,0,6,,.257,.422,.289,.257,.165,89.2,6.5,34.9,5,7.9,46,23.9,56.4,54,20.6,27.4,
Cordero, Franchy,614173,2021,95,102,10,6,0,1,6,36.3,5.9,.499,.095,9,26,0,1,0,9,,.190,.303,.240,.238,.113,90.1,4.3,30.5,3,5.1,40.7,40.1,54.9,50.8,18.6,28.3,
Reyes, Franmil,614177,2021,144,158,15,9,2,11,12,30.4,7.6,.893,.319,29,83,0,1,1,21,,.256,.559,.370,.318,.303,93.7,8.3,29.9,20,20.6,53.6,33.9,47.8,52.6,25.8,26.1,
Torrens, Luis,620443,2021,90,96,9,5,0,2,4,26.0,4.2,.519,.122,6,27,0,0,1,7,,.221,.374,.275,.261,.153,90.1,5.5,28.8,6,9.1,33.3,27.5,47.2,59.1,16.7,26.3,
Robertson, Daniel,621002,2021,46,53,3,2,0,1,5,30.2,9.4,.466,.109,1,11,0,0,1,6,,.178,.335,.270,.283,.156,85.6,11,21.9,3,9.4,31.3,27.2,41.1,50,31.3,26.4,
Swanson, Dansby,621020,2021,202,223,26,12,1,9,14,28.3,6.3,.732,.203,25,89,3,2,3,22,,.253,.484,.338,.309,.230,89.8,15,39.6,17,11.4,46.3,31.3,50.7,36.9,31.5,28.2,
Newman, Kevin,621028,2021,193,203,34,5,1,1,9,5.9,4.4,.511,.052,10,51,0,1,0,19,,.247,.320,.266,.279,.073,84.8,7.3,31,2,1.1,22.3,11.7,44.2,47.8,21.2,28.2,
Taylor, Chris,621035,2021,178,214,32,8,3,7,30,24.8,14.0,.879,.197,31,85,0,6,6,44,,.263,.464,.370,.384,.202,89,13.5,39.8,12,9.4,39.8,31.4,44.5,42.2,25.8,28.5,
Correa, Carlos,621043,2021,210,240,37,13,0,10,28,15.4,11.7,.861,.205,32,103,0,0,1,37,,.293,.466,.364,.378,.173,90,13.3,31.5,14,7.9,43.3,22.3,42,43.8,22.5,27.2,
