Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
José Abreu,30,1247,MLB-AL,Chicago,156,675,621,95,189,43,6,33,102,35,6,119,15,0,4,21,3,0,0.304,0.354,0.552,0.906,José,Abreu,Abreu,547989
Cristhian Adames,25,1403,MLB-NL,Colorado,12,14,13,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0.0,0.071,0.0,0.071,Cristhian,Adames,Adames,542436
Lane Adams,27,1247,MLB-NL,Atlanta,82,122,109,19,30,4,1,5,20,10,0,37,1,1,1,3,10,0,0.275,0.339,0.468,0.807,Lane,Adams,Adams,572669
Matt Adams,28,1248,MLB-NL,"Atlanta,St. Louis",130,367,339,46,93,22,1,20,65,23,5,88,1,0,4,5,0,0,0.274,0.319,0.522,0.841,Matt,Adams,Adams,571431
Jim Adduci,32,1300,MLB-AL,Detroit,28,93,83,14,20,6,2,1,10,10,0,27,0,0,0,1,1,1,0.241,0.323,0.398,0.72,Jim,Adduci,Adduci,110073
Tim Adleman,29,1289,MLB-NL,Cincinnati,18,32,29,0,3,1,0,0,2,0,0,10,0,3,0,0,0,0,0.103,0.103,0.138,0.241,Tim,Adleman,Adleman,534947
Ehire Adrianza,27,1247,MLB-AL,Minnesota,68,186,162,30,43,9,2,2,24,16,1,25,1,1,6,0,8,1,0.265,0.324,0.383,0.707,Ehire,Adrianza,Adrianza,501303
Jesus Aguilar,27,1247,MLB-NL,Milwaukee,129,311,279,40,74,15,2,16,52,25,1,94,4,0,3,8,0,0,0.265,0.331,0.505,0.837,Jesus,Aguilar,Aguilar,542583
Nick Ahmed,27,1343,MLB-NL,Arizona,53,178,167,24,42,8,1,6,21,10,3,39,1,0,0,6,3,4,0.251,0.298,0.419,0.717,Nick,Ahmed,Ahmed,605113
Andrew Albers,31,1288,MLB-AL,Seattle,1,3,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0,Andrew,Albers,Albers,452027
Ozzie Albies,20,1247,MLB-NL,Atlanta,57,244,217,34,62,9,5,6,28,21,0,36,3,1,2,3,8,1,0.286,0.354,0.456,0.81,Ozzie,Albies,Albies,645277
Arismendy Alcantara,25,1300,MLB-NL,Cincinnati,68,108,105,13,18,3,1,1,7,2,0,38,0,1,0,2,2,0,0.171,0.187,0.248,0.435,Arismendy,Alcantara,Alcantara,570489
Scott Alexander,27,1300,MLB-AL,Kansas City,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Scott,Alexander,Alexander,518397
Jorge Alfaro,24,1248,MLB-NL,Philadelphia,29,114,107,12,34,6,0,5,14,3,1,33,4,0,0,2,0,0,0.318,0.36,0.514,0.874,Jorge,Alfaro,Alfaro,595751
Anthony Alford,22,1378,MLB-AL,Toronto,4,8,8,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0.125,0.125,0.25,0.375,Anthony,Alford,Alford,546990
Greg Allen,24,1247,MLB-AL,Cleveland,19,39,35,7,8,1,0,1,6,2,0,8,1,0,1,0,1,0,0.229,0.282,0.343,0.625,Greg,Allen,Allen,656185
Abraham Almonte,28,1247,MLB-AL,Cleveland,67,195,172,26,40,8,3,3,14,20,0,46,1,1,1,2,2,1,0.233,0.314,0.366,0.681,Abraham,Almonte,Almonte,501659
Albert Almora,23,1247,MLB-NL,Chicago,123,323,299,39,89,18,1,8,46,19,1,53,0,3,2,8,1,0,0.298,0.338,0.445,0.782,Albert,Almora,Almora,546991
Yonder Alonso,30,1247,MLB-AL,"Oakland,Seattle",139,520,450,72,120,22,0,28,67,68,6,117,2,0,0,9,2,0,0.267,0.365,0.502,0.868,Yonder,Alonso,Alonso,475174
Aaron Altherr,26,1247,MLB-NL,Philadelphia,104,412,372,58,101,24,5,19,65,32,2,104,7,0,1,12,5,4,0.272,0.34,0.516,0.856,Aaron,Altherr,Altherr,571437
Jose Altuve,27,1247,MLB-AL,Houston,153,662,590,112,204,39,4,24,81,58,3,84,9,1,4,19,32,5,0.346,0.41,0.547,0.957,Jose,Altuve,Altuve,514888
Henderson Alvarez III,27,1248,MLB-NL,Philadelphia,3,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Henderson,Alvarez III,III,506693
Pedro Alvarez,30,1248,MLB-AL,Baltimore,14,34,32,4,10,1,0,1,4,2,0,10,0,0,0,0,0,0,0.313,0.353,0.438,0.79,Pedro,Alvarez,Alvarez,476883
Alexi Amarista,28,1247,MLB-NL,Colorado,92,176,168,22,40,10,0,3,19,7,0,38,0,1,0,5,1,0,0.238,0.269,0.351,0.62,Alexi,Amarista,Amarista,506560
Brett Anderson,29,1407,MLB-NL,Chicago,4,8,7,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.143,0.25,0.143,0.393,Brett,Anderson,Anderson,474463
Brian Anderson,24,1247,MLB-NL,Miami,25,95,84,11,22,7,1,0,8,10,0,28,0,0,1,1,0,0,0.262,0.337,0.369,0.706,Brian,Anderson,Anderson,605119
Chase Anderson,29,1249,MLB-NL,Milwaukee,24,55,52,1,7,1,0,0,3,0,0,29,0,3,0,1,0,0,0.135,0.135,0.154,0.288,Chase,Anderson,Anderson,502624
Tim Anderson,24,1247,MLB-AL,Chicago,146,606,587,72,151,26,4,17,56,13,0,162,3,2,1,13,15,1,0.257,0.276,0.402,0.679,Tim,Anderson,Anderson,641313
Tyler Anderson,27,1252,MLB-NL,Colorado,16,33,26,1,1,0,0,0,0,1,0,17,0,6,0,1,0,0,0.038,0.074,0.038,0.113,Tyler,Anderson,Anderson,542881
Elvis Andrus,28,1247,MLB-AL,Texas,158,689,643,100,191,44,4,20,88,38,0,101,3,1,4,18,25,9,0.297,0.337,0.471,0.808,Elvis,Andrus,Andrus,462101
Miguel Andujar,22,1247,MLB-AL,New York,3,8,7,0,4,2,0,0,4,1,0,0,0,0,0,0,1,0,0.571,0.625,0.857,1.482,Miguel,Andujar,Andujar,609280
Nori Aoki,35,1247,"MLB-NL,MLB-AL","New York,Toronto,Houston",109,374,336,48,93,20,2,5,35,29,1,44,3,1,5,12,10,2,0.277,0.335,0.393,0.728,Nori,Aoki,Aoki,493114
Jayson Aquino,24,1335,MLB-AL,Baltimore,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jayson,Aquino,Aquino,593969
Chris Archer,28,1282,MLB-AL,Tampa Bay,3,8,8,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0.25,0.25,0.25,0.5,Chris,Archer,Archer,502042
Orlando Arcia,22,1248,MLB-NL,Milwaukee,152,548,506,56,140,17,2,15,53,36,9,100,1,2,3,10,14,5,0.277,0.324,0.407,0.731,Orlando,Arcia,Arcia,606115
Nolan Arenado,26,1247,MLB-NL,Colorado,159,680,606,100,187,43,7,37,130,62,9,106,4,1,6,21,3,2,0.309,0.373,0.586,0.959,Nolan,Arenado,Arenado,571448
Jake Arrieta,31,1252,MLB-NL,Chicago,29,64,61,2,8,0,1,1,5,1,0,32,0,2,0,0,0,0,0.131,0.145,0.213,0.358,Jake,Arrieta,Arrieta,453562
Bronson Arroyo,40,1352,MLB-NL,Cincinnati,15,29,26,0,4,0,0,0,0,0,0,10,0,3,0,0,0,0,0.154,0.154,0.154,0.308,Bronson,Arroyo,Arroyo,276520
Christian Arroyo,22,1371,MLB-NL,San Francisco,33,135,125,9,24,5,0,3,14,8,1,32,1,0,1,4,1,2,0.192,0.244,0.304,0.548,Christian,Arroyo,Arroyo,624414
Cody Asche,27,1389,MLB-AL,Chicago,19,62,57,5,6,1,0,1,4,3,1,21,2,0,0,1,0,0,0.105,0.177,0.175,0.353,Cody,Asche,Asche,605125
Alec Asher,25,1362,MLB-AL,Baltimore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Alec,Asher,Asher,594742
Barrett Astin,25,1387,MLB-NL,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Barrett,Astin,Astin,592120
Carlos Asuaje,25,1247,MLB-NL,San Diego,87,343,307,28,83,14,1,4,21,28,0,76,2,5,1,6,0,1,0.27,0.334,0.362,0.696,Carlos,Asuaje,Asuaje,641319
Tyler Austin,25,1247,MLB-AL,New York,16,46,40,4,9,2,0,2,8,4,0,17,0,0,2,1,0,0,0.225,0.283,0.425,0.708,Tyler,Austin,Austin,592122
Alex Avila,30,1247,"MLB-AL,MLB-NL","Detroit,Chicago",108,376,311,41,82,13,1,14,49,62,2,120,1,1,1,10,0,0,0.264,0.387,0.447,0.834,Alex,Avila,Avila,488671
Luis Avilan,27,1381,MLB-NL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Luis,Avilan,Avilan,501593
Mike Aviles,36,1247,MLB-NL,Miami,37,97,86,5,20,2,0,1,8,6,2,15,2,3,0,3,0,0,0.233,0.298,0.291,0.589,Mike,Aviles,Aviles,449107
Erick Aybar,33,1247,MLB-NL,San Diego,106,370,333,37,78,15,1,7,22,28,2,57,4,3,2,5,11,3,0.234,0.3,0.348,0.648,Erick,Aybar,Aybar,430947
Harrison Bader,23,1247,MLB-NL,St. Louis,31,92,85,10,20,3,0,3,10,5,1,24,1,0,1,1,2,1,0.235,0.283,0.376,0.659,Harrison,Bader,Bader,664056
Javier Baez,24,1247,MLB-NL,Chicago,137,508,469,75,128,24,2,23,75,30,15,144,1,6,2,10,10,3,0.273,0.317,0.48,0.796,Javier,Baez,Baez,595879
Pedro Baez,29,1348,MLB-NL,Los Angeles,2,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,Pedro,Baez,Baez,520980
Homer Bailey,31,1251,MLB-NL,Cincinnati,17,35,28,4,7,2,0,0,0,0,0,11,0,7,0,0,0,0,0.25,0.25,0.321,0.571,Homer,Bailey,Bailey,456701
Anthony Banda,23,1294,MLB-NL,Arizona,4,6,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Anthony,Banda,Banda,607455
Jett Bandy,27,1247,MLB-NL,Milwaukee,58,188,169,14,35,6,0,6,18,15,0,51,4,0,0,5,1,0,0.207,0.287,0.349,0.636,Jett,Bandy,Bandy,542908
Johnny Barbato,24,1403,MLB-NL,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Johnny,Barbato,Barbato,592127
Austin Barnes,27,1247,MLB-NL,Los Angeles,98,262,218,35,63,15,2,8,38,39,1,43,5,0,0,6,4,1,0.289,0.408,0.486,0.895,Austin,Barnes,Barnes,605131
Jacob Barnes,27,1248,MLB-NL,Milwaukee,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,Jacob,Barnes,Barnes,606930
Darwin Barney,31,1247,MLB-AL,Toronto,122,362,336,34,78,14,0,6,25,18,0,64,2,5,1,13,7,1,0.232,0.275,0.327,0.602,Darwin,Barney,Barney,446381
Tucker Barnhart,26,1247,MLB-NL,Cincinnati,119,423,370,26,100,24,2,7,44,42,11,68,3,5,3,12,4,0,0.27,0.347,0.403,0.75,Tucker,Barnhart,Barnhart,571466
Kyle Barraclough,27,1361,MLB-NL,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Kyle,Barraclough,Barraclough,607457
Franklin Barreto,21,1247,MLB-AL,Oakland,25,76,71,10,14,1,2,2,6,5,0,33,0,0,0,1,2,0,0.197,0.25,0.352,0.602,Franklin,Barreto,Barreto,620439
Antonio Bastardo,31,1407,MLB-NL,Pittsburgh,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,Antonio,Bastardo,Bastardo,455374
Trevor Bauer,26,1363,MLB-AL,Cleveland,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Trevor,Bauer,Bauer,545333
Jose Bautista,36,1247,MLB-AL,Toronto,157,686,587,92,119,27,0,23,65,84,3,170,8,0,7,16,6,1,0.203,0.308,0.366,0.674,Jose,Bautista,Bautista,110713
Rafael Bautista,24,1247,MLB-NL,Washington,16,27,25,2,4,0,0,0,0,2,0,5,0,0,0,1,0,0,0.16,0.222,0.16,0.382,Rafael,Bautista,Bautista,622441
Gordon Beckham,30,1247,MLB-AL,Seattle,9,18,17,2,3,0,0,0,0,1,0,2,0,0,0,2,1,0,0.176,0.222,0.176,0.399,Gordon,Beckham,Beckham,493596
Tim Beckham,27,1249,MLB-AL,"Tampa Bay,Baltimore",137,575,533,67,148,18,5,22,62,36,0,167,4,1,1,10,6,4,0.278,0.328,0.454,0.782,Tim,Beckham,Beckham,542921
Josh Bell,24,1247,MLB-NL,Pittsburgh,159,620,549,75,140,26,6,26,90,66,4,117,1,0,4,15,2,2,0.255,0.334,0.466,0.8,Josh,Bell,Bell,458679
Cody Bellinger,21,1247,MLB-NL,Los Angeles,132,548,480,87,128,26,4,39,97,64,13,146,1,0,3,5,10,3,0.267,0.352,0.581,0.933,Cody,Bellinger,Bellinger,641355
Brandon Belt,29,1305,MLB-NL,San Francisco,104,451,382,63,92,27,3,18,51,66,2,104,2,0,1,5,3,1,0.241,0.355,0.469,0.823,Brandon,Belt,Belt,474832
Carlos Beltran,40,1247,MLB-AL,Houston,129,509,467,60,108,29,0,14,51,33,3,102,3,0,6,9,0,0,0.231,0.283,0.383,0.666,Carlos,Beltran,Beltran,136860
Adrian Beltre,38,1247,MLB-AL,Texas,94,389,340,47,106,22,1,17,71,39,2,52,4,0,6,7,1,0,0.312,0.383,0.532,0.915,Adrian,Beltre,Beltre,134181
Andrew Benintendi,22,1248,MLB-AL,Boston,151,658,573,84,155,26,1,20,90,70,7,112,6,1,8,16,20,3,0.271,0.352,0.424,0.776,Andrew,Benintendi,Benintendi,643217
Christian Bergman,29,1378,MLB-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Christian,Bergman,Bergman,548357
Jose Berrios,23,1308,MLB-AL,Minnesota,3,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,Jose,Berrios,Berrios,621244
Quintin Berry,32,1247,MLB-NL,Milwaukee,7,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0.0,0.0,0.0,0.0,Quintin,Berry,Berry,450641
Christian Bethancourt,25,1409,MLB-NL,San Diego,7,7,7,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.143,0.143,0.143,0.286,Christian,Bethancourt,Bethancourt,542194
Chad Bettis,28,1249,MLB-NL,Colorado,8,15,11,1,1,0,0,0,1,1,0,6,0,3,0,0,0,0,0.091,0.167,0.091,0.258,Chad,Bettis,Bettis,518452
Mookie Betts,24,1248,MLB-AL,Boston,153,712,628,101,166,46,2,24,102,77,9,79,2,0,5,9,26,3,0.264,0.344,0.459,0.803,Mookie,Betts,Betts,605141
Joe Biagini,27,1378,MLB-AL,Toronto,2,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Joe,Biagini,Biagini,607352
Austin Bibens-Dirkx,32,1272,MLB-AL,Texas,2,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Austin,Bibens-Dirkx,Bibens-Dirkx,502212
Greg Bird,24,1247,MLB-AL,New York,48,170,147,20,28,7,0,9,28,19,0,42,2,0,2,2,0,0,0.19,0.288,0.422,0.71,Greg,Bird,Bird,595885
Ty Blach,26,1267,MLB-NL,San Francisco,27,53,44,5,10,2,0,1,7,4,0,21,0,4,1,1,0,0,0.227,0.286,0.341,0.627,Ty,Blach,Blach,621389
Paul Blackburn,23,1319,MLB-AL,Oakland,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Paul,Blackburn,Blackburn,621112
Charlie Blackmon,30,1247,MLB-NL,Colorado,159,724,643,137,213,35,14,37,104,65,9,134,10,3,3,4,14,10,0.331,0.399,0.602,1.001,Charlie,Blackmon,Blackmon,453568
Aaron Blair,25,1314,MLB-NL,Atlanta,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,Aaron,Blair,Blair,594760
Andres Blanco,33,1266,MLB-NL,Philadelphia,75,144,130,10,25,4,0,3,13,12,0,34,0,0,2,1,1,0,0.192,0.257,0.292,0.549,Andres,Blanco,Blanco,433217
Gregor Blanco,33,1247,MLB-NL,Arizona,83,256,224,43,55,10,3,3,13,31,0,59,0,1,0,2,15,0,0.246,0.337,0.357,0.694,Gregor,Blanco,Blanco,453923
Joe Blanton,36,1423,MLB-NL,Washington,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,Joe,Blanton,Blanton,430599
Jabari Blash,27,1247,MLB-NL,San Diego,61,195,164,24,35,6,0,5,16,28,0,66,2,0,1,5,1,2,0.213,0.333,0.341,0.675,Jabari,Blash,Blash,518466
Michael Blazek,28,1313,MLB-NL,Milwaukee,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Michael,Blazek,Blazek,518468
Xander Bogaerts,24,1248,MLB-AL,Boston,146,635,571,94,156,32,6,10,62,56,6,116,6,0,2,17,15,1,0.273,0.343,0.403,0.746,Xander,Bogaerts,Bogaerts,593428
Emilio Bonifacio,32,1370,MLB-NL,Atlanta,38,44,38,2,5,1,1,0,3,1,0,9,0,4,1,1,0,0,0.132,0.15,0.211,0.361,Emilio,Bonifacio,Bonifacio,466988
Jorge Bonifacio,24,1247,MLB-AL,Kansas City,111,422,384,55,98,15,1,17,40,35,0,118,2,0,1,8,1,1,0.255,0.32,0.432,0.752,Jorge,Bonifacio,Bonifacio,593528
Lisalverto Bonilla,27,1303,MLB-NL,Cincinnati,5,8,6,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0.167,0.375,0.167,0.542,Lisalverto,Bonilla,Bonilla,570810
John Bormann,24,1401,MLB-NL,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,John,Bormann,Bormann,657524
Christopher Bostick,24,1247,MLB-NL,Pittsburgh,20,32,27,6,8,2,0,0,1,4,0,9,1,0,0,0,0,0,0.296,0.406,0.37,0.777,Christopher,Bostick,Bostick,607471
Justin Bour,29,1247,MLB-NL,Miami,108,429,377,52,109,18,0,25,83,47,7,95,1,0,4,10,1,0,0.289,0.366,0.536,0.902,Justin,Bour,Bour,571506
Peter Bourjos,30,1247,MLB-AL,Tampa Bay,88,203,188,27,42,9,3,5,15,12,0,53,1,1,1,2,5,3,0.223,0.272,0.383,0.655,Peter,Bourjos,Bourjos,488721
Matt Bowman,26,1321,MLB-NL,St. Louis,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,Matt,Bowman,Bowman,621199
Matthew Boyd,26,1301,MLB-AL,Detroit,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,Matthew,Boyd,Boyd,571510
Chasen Bradford,27,1292,MLB-NL,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Chasen,Bradford,Bradford,607473
Archie Bradley,24,1258,MLB-NL,Arizona,4,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,Archie,Bradley,Bradley,605151
Jackie Bradley Jr.,27,1247,MLB-AL,Boston,133,541,482,58,118,19,3,17,63,48,4,124,9,0,2,8,8,3,0.245,0.323,0.402,0.726,Jackie,Bradley Jr.,Jr.,598265
Michael Brantley,30,1247,MLB-AL,Cleveland,90,375,338,47,101,20,1,9,52,31,3,50,2,0,4,8,11,1,0.299,0.357,0.444,0.801,Michael,Brantley,Brantley,488726
Rob Brantly,27,1247,MLB-AL,Chicago,12,36,31,4,9,1,0,2,5,3,0,14,2,0,0,0,0,0,0.29,0.389,0.516,0.905,Rob,Brantly,Brantly,542963
Steven Brault,25,1247,MLB-NL,Pittsburgh,10,13,13,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0.231,0.231,0.308,0.538,Steven,Brault,Brault,643230
Ryan Braun,33,1248,MLB-NL,Milwaukee,104,425,380,58,102,28,2,17,52,38,2,76,3,0,4,15,12,2,0.268,0.336,0.487,0.823,Ryan,Braun,Braun,461334
John Brebbia,27,1321,MLB-NL,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,John,Brebbia,Brebbia,605154
Alex Bregman,23,1247,MLB-AL,Houston,154,626,556,88,158,39,5,19,71,55,2,97,7,1,7,15,17,3,0.284,0.352,0.475,0.827,Alex,Bregman,Bregman,608324
Austin Brice,25,1344,MLB-NL,Cincinnati,4,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Austin,Brice,Brice,592169
Lewis Brinson,23,1306,MLB-NL,Milwaukee,21,55,47,2,5,0,1,2,3,7,1,17,1,0,0,0,1,0,0.106,0.236,0.277,0.513,Lewis,Brinson,Brinson,621446
Keon Broxton,27,1247,MLB-NL,Milwaukee,134,463,414,66,91,15,4,20,49,40,1,175,7,1,1,3,21,5,0.22,0.299,0.42,0.719,Keon,Broxton,Broxton,542979
Jay Bruce,30,1247,"MLB-NL,MLB-AL","New York,Cleveland",146,617,555,82,141,29,2,36,101,57,0,139,2,0,3,11,1,0,0.254,0.324,0.508,0.832,Jay,Bruce,Bruce,457803
Jaycob Brugman,25,1300,MLB-AL,Oakland,47,162,143,12,38,2,0,3,12,18,1,38,0,0,1,1,1,2,0.266,0.346,0.343,0.688,Jaycob,Brugman,Brugman,595144
Kris Bryant,25,1247,MLB-NL,Chicago,151,665,549,111,162,38,4,29,73,95,5,128,15,0,6,8,7,4,0.295,0.409,0.537,0.946,Kris,Bryant,Bryant,592178
Jake Buchanan,27,1361,MLB-NL,Cincinnati,2,3,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,Jake,Buchanan,Buchanan,594772
Clay Buchholz,32,1425,MLB-NL,Philadelphia,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Clay,Buchholz,Buchholz,453329
Madison Bumgarner,27,1255,MLB-NL,San Francisco,15,36,34,4,7,0,0,3,5,2,0,11,0,0,0,1,0,0,0.206,0.25,0.471,0.721,Madison,Bumgarner,Bumgarner,518516
Billy Burns,27,1319,MLB-AL,Kansas City,6,6,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.167,0.167,0.167,0.333,Billy,Burns,Burns,542993
Drew Butera,33,1247,MLB-AL,Kansas City,63,177,163,18,37,4,1,3,14,12,0,41,1,1,0,0,0,0,0.227,0.284,0.319,0.603,Drew,Butera,Butera,460077
Eddie Butler,26,1333,MLB-NL,Chicago,11,19,15,0,1,0,0,0,0,1,0,6,0,3,0,0,0,0,0.067,0.125,0.067,0.192,Eddie,Butler,Butler,572750
Byron Buxton,23,1247,MLB-AL,Minnesota,138,511,462,69,117,14,6,16,51,38,2,150,4,5,2,1,29,1,0.253,0.314,0.413,0.728,Byron,Buxton,Buxton,621439
Asdrubal Cabrera,31,1248,MLB-NL,New York,135,540,479,66,134,32,0,14,59,50,1,83,5,1,5,19,3,2,0.28,0.351,0.434,0.785,Asdrubal,Cabrera,Cabrera,452678
Melky Cabrera,32,1247,MLB-AL,"Chicago,Kansas City",156,666,620,78,177,30,2,17,85,36,1,74,2,2,6,19,1,1,0.285,0.324,0.423,0.746,Melky,Cabrera,Cabrera,466320
Miguel Cabrera,34,1255,MLB-AL,Detroit,130,529,469,50,117,22,0,16,60,54,6,110,3,0,3,15,0,1,0.249,0.329,0.399,0.728,Miguel,Cabrera,Cabrera,408234
Trevor Cahill,29,1300,"MLB-NL,MLB-AL","San Diego,Kansas City",10,18,14,1,4,1,0,0,2,1,0,4,0,3,0,0,0,0,0.286,0.333,0.357,0.69,Trevor,Cahill,Cahill,502239
Lorenzo Cain,31,1247,MLB-AL,Kansas City,155,646,585,86,175,27,5,15,49,54,1,100,5,0,2,20,26,2,0.299,0.362,0.439,0.802,Lorenzo,Cain,Cain,456715
Matt Cain,32,1248,MLB-NL,San Francisco,20,34,32,1,5,2,0,0,2,0,0,20,0,2,0,0,0,0,0.156,0.156,0.219,0.375,Matt,Cain,Cain,430912
Kole Calhoun,29,1247,MLB-AL,Los Angeles,155,654,569,77,139,23,2,19,71,71,4,134,8,0,6,10,5,1,0.244,0.333,0.392,0.725,Kole,Calhoun,Calhoun,594777
Willie Calhoun,22,1247,MLB-AL,Texas,13,37,34,3,9,0,0,1,4,2,0,7,1,0,0,0,0,0,0.265,0.324,0.353,0.677,Willie,Calhoun,Calhoun,641432
Orlando Calixte,25,1247,MLB-NL,San Francisco,27,55,49,5,7,1,0,0,6,3,0,16,0,1,2,1,1,0,0.143,0.185,0.163,0.348,Orlando,Calixte,Calixte,593525
Johan Camargo,23,1248,MLB-NL,Atlanta,80,256,241,30,72,21,2,4,27,12,2,51,0,2,1,5,0,0,0.299,0.331,0.452,0.783,Johan,Camargo,Camargo,622666
Jeimer Candelario,23,1247,"MLB-AL,MLB-NL","Detroit,Chicago",38,142,127,18,36,9,0,3,16,13,0,30,2,0,0,3,0,0,0.283,0.359,0.425,0.784,Jeimer,Candelario,Candelario,600869
Mark Canha,28,1247,MLB-AL,Oakland,56,187,173,16,36,13,1,5,14,7,0,56,6,0,1,5,2,0,0.208,0.262,0.382,0.644,Mark,Canha,Canha,592192
Robinson Cano,34,1247,MLB-AL,Seattle,150,648,592,79,166,33,0,23,97,49,8,85,4,0,3,18,1,0,0.28,0.338,0.453,0.791,Robinson,Cano,Cano,429664
Victor Caratini,23,1247,MLB-NL,Chicago,29,66,59,6,15,3,0,1,2,4,1,13,3,0,0,3,0,0,0.254,0.333,0.356,0.689,Victor,Caratini,Caratini,605170
Stephen Cardullo,29,1409,MLB-NL,Colorado,15,32,28,2,4,0,0,0,3,3,0,7,1,0,0,0,0,0,0.143,0.25,0.143,0.393,Stephen,Cardullo,Cardullo,506924
Matt Carpenter,31,1250,MLB-NL,St. Louis,144,622,497,91,120,31,2,23,69,109,4,125,9,2,5,5,2,0,0.241,0.384,0.451,0.835,Matt,Carpenter,Carpenter,572761
Carlos Carrasco,30,1321,MLB-AL,Cleveland,2,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.2,0.0,0.2,Carlos,Carrasco,Carrasco,471911
Ezequiel Carrera,30,1247,MLB-AL,Toronto,114,325,287,38,81,10,1,8,20,30,0,75,3,5,0,4,10,1,0.282,0.356,0.408,0.764,Ezequiel,Carrera,Carrera,485567
Chris Carter,30,1336,MLB-AL,New York,59,208,184,20,37,5,1,8,26,20,0,76,2,0,2,5,0,0,0.201,0.284,0.37,0.653,Chris,Carter,Carter,452080
Curt Casali,28,1247,MLB-AL,Tampa Bay,6,13,9,2,3,0,0,1,3,3,0,3,0,0,1,0,0,0,0.333,0.462,0.667,1.128,Curt,Casali,Casali,592200
Andrew Cashner,30,1274,MLB-AL,Texas,2,7,5,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0.2,0.167,0.2,0.367,Andrew,Cashner,Cashner,488768
