Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
Isan Diaz,23,519,MLB-NL,Miami,49,201,179,17,31,5,2,5,23,19,0,59,2,0,1,2,0,2,0.173,0.259,0.307,0.566,Isan,Diaz,Diaz,656371
Miguel Diaz,24,633,MLB-NL,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Miguel,Diaz,Diaz,622766
Yandy Díaz,27,519,MLB-AL,Tampa Bay,79,346,306,53,82,20,1,14,38,35,1,60,1,0,4,9,2,2,0.268,0.341,0.477,0.818,Yandy,Díaz,Díaz,650490
Alex Dickerson,29,519,MLB-NL,"San Diego,San Francisco",68,190,174,29,48,13,3,6,28,13,1,42,2,0,1,5,1,1,0.276,0.332,0.489,0.82,Alex,Dickerson,Dickerson,543105
Corey Dickerson,30,537,MLB-NL,"Philadelphia,Pittsburgh",78,278,259,33,79,28,2,12,59,16,4,55,0,0,3,4,1,0,0.305,0.342,0.568,0.909,Corey,Dickerson,Dickerson,572816
Derek Dietrich,29,524,MLB-NL,Cincinnati,112,306,251,41,47,8,2,19,43,28,2,74,25,0,1,2,1,1,0.187,0.328,0.462,0.79,Derek,Dietrich,Dietrich,518618
Wilmer Difo,27,519,MLB-NL,Washington,43,145,132,15,33,2,0,2,8,12,3,30,0,1,0,2,0,1,0.25,0.313,0.311,0.623,Wilmer,Difo,Difo,594694
Nick Dini,25,519,MLB-AL,Kansas City,20,64,56,11,11,3,0,2,6,4,0,18,2,1,1,1,0,0,0.196,0.27,0.357,0.627,Nick,Dini,Dini,664926
Brandon Dixon,27,519,MLB-AL,Detroit,117,420,391,41,97,20,4,15,52,21,0,136,4,0,4,5,5,0,0.248,0.29,0.435,0.725,Brandon,Dixon,Dixon,641525
Seranthony Dominguez,24,688,MLB-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Seranthony,Dominguez,Dominguez,622554
Josh Donaldson,33,520,MLB-NL,Atlanta,155,659,549,96,142,33,0,37,94,100,2,155,8,0,2,13,4,1,0.259,0.379,0.521,0.9,Josh,Donaldson,Donaldson,518626
Sean Doolittle,32,590,MLB-NL,Washington,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Sean,Doolittle,Doolittle,448281
Brian Dozier,32,519,MLB-NL,Washington,135,482,416,54,99,20,0,20,50,61,2,105,4,0,1,11,3,4,0.238,0.34,0.43,0.771,Brian,Dozier,Dozier,572821
Hunter Dozier,27,519,MLB-AL,Kansas City,139,586,523,75,146,29,10,26,84,55,2,148,3,0,5,9,2,2,0.279,0.348,0.522,0.87,Hunter,Dozier,Dozier,641531
Oliver Drake,32,567,MLB-AL,Tampa Bay,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,Oliver,Drake,Drake,543118
Brandon Drury,26,520,MLB-AL,Toronto,120,447,418,43,91,21,1,15,41,25,0,113,1,0,3,6,0,0,0.218,0.262,0.38,0.642,Brandon,Drury,Drury,592273
Mauricio Dubon,24,519,MLB-NL,"Milwaukee,San Francisco",30,111,106,12,29,5,0,4,9,5,0,20,0,0,0,3,3,1,0.274,0.306,0.434,0.74,Mauricio,Dubon,Dubon,643289
Lucas Duda,33,584,MLB-AL,Kansas City,39,119,105,7,18,4,0,4,15,11,1,32,1,0,2,3,0,0,0.171,0.252,0.324,0.576,Lucas,Duda,Duda,446263
Danny Duffy,30,541,MLB-AL,Kansas City,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,Danny,Duffy,Duffy,518633
Matt Duffy,28,519,MLB-AL,Tampa Bay,46,169,147,12,37,8,0,1,12,19,0,29,2,0,1,4,0,1,0.252,0.343,0.327,0.67,Matt,Duffy,Duffy,592274
Steven Duggar,25,572,MLB-NL,San Francisco,73,281,261,26,61,12,2,4,28,16,0,78,1,0,3,1,1,3,0.234,0.278,0.341,0.619,Steven,Duggar,Duggar,621453
Robert Dugger,23,528,MLB-NL,Miami,6,11,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Robert,Dugger,Dugger,667498
Justin Dunn,23,530,MLB-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Justin,Dunn,Dunn,643290
Jon Duplantier,24,524,MLB-NL,Arizona,7,8,8,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.125,0.125,0.125,0.25,Jon,Duplantier,Duplantier,641541
Montana DuRapau,27,560,MLB-NL,Pittsburgh,3,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,Montana,DuRapau,DuRapau,657566
Adam Duvall,30,519,MLB-NL,Atlanta,41,130,120,17,32,4,1,10,19,7,0,39,2,0,1,0,0,0,0.267,0.315,0.567,0.882,Adam,Duvall,Duvall,594807
